,epoch,train/eval,batch_size,loss,acc
0,0,train,32,21.974563598632812,
0,0,train,32,22.42129898071289,
0,0,train,32,22.368356704711914,
0,0,train,32,21.819297790527344,
0,0,train,32,22.35994529724121,
0,0,train,32,22.086284637451172,
0,0,train,32,22.236164093017578,
0,0,train,32,21.78026008605957,
0,0,train,32,22.074356079101562,
0,0,train,32,22.194007873535156,
0,0,train,32,22.09209632873535,
0,0,train,32,22.177513122558594,
0,0,train,32,22.248668670654297,
0,0,train,32,22.204452514648438,
0,0,train,32,21.808692932128906,
0,0,train,32,22.110225677490234,
0,0,train,32,22.13967514038086,
0,0,train,32,22.19405746459961,
0,0,train,32,22.401260375976562,
0,0,train,32,21.810768127441406,
0,0,train,32,21.77041244506836,
0,0,train,32,22.175922393798828,
0,0,train,32,22.59870147705078,
0,0,train,32,22.520057678222656,
0,0,train,32,22.20131492614746,
0,0,train,32,22.334671020507812,
0,0,train,32,21.93883514404297,
0,0,train,32,22.15144920349121,
0,0,train,32,21.793230056762695,
0,0,train,32,22.30973243713379,
0,0,train,32,22.189186096191406,
0,0,train,32,21.856231689453125,
0,0,train,32,21.926109313964844,
0,0,train,32,21.89982795715332,
0,0,train,32,22.33612823486328,
0,0,train,32,21.876676559448242,
0,0,train,32,22.022174835205078,
0,0,train,32,22.008079528808594,
0,0,train,32,21.850297927856445,
0,0,train,32,21.905302047729492,
0,0,train,32,22.224836349487305,
0,0,train,32,22.226272583007812,
0,0,train,32,21.767498016357422,
0,0,train,32,22.098155975341797,
0,0,train,32,22.10152816772461,
0,0,train,32,22.204917907714844,
0,0,train,32,22.45347785949707,
0,0,train,32,22.388500213623047,
0,0,train,32,22.24405288696289,
0,0,train,32,22.103107452392578,
0,0,train,32,22.274139404296875,
0,0,train,32,21.88282585144043,
0,0,train,32,22.195035934448242,
0,0,train,32,22.21183967590332,
0,0,train,32,21.845108032226562,
0,0,train,32,22.138050079345703,
0,0,train,32,21.8272705078125,
0,0,train,32,22.131301879882812,
0,0,train,32,22.580768585205078,
0,0,train,32,22.438674926757812,
0,0,train,32,21.808177947998047,
0,0,train,32,22.209863662719727,
0,0,train,32,22.140552520751953,
0,0,train,32,22.257671356201172,
0,0,train,32,21.99943733215332,
0,0,train,32,22.171737670898438,
0,0,train,32,21.936092376708984,
0,0,train,32,21.981887817382812,
0,0,train,32,22.31212043762207,
0,0,train,32,22.351581573486328,
0,0,train,32,22.24699592590332,
0,0,train,32,21.832618713378906,
